PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
403,0,3,male,21.0,0,0,7.25,S
404,0,1,male,55.0,0,0,30.5,S
405,0,1,male,71.0,0,0,49.5042,C
406,0,3,male,21.0,0,0,8.05,S
408,1,1,female,54.0,1,0,78.2667,C
410,0,1,female,25.0,1,2,151.55,S
411,0,3,male,24.0,0,0,7.7958,S
412,0,3,male,17.0,0,0,8.6625,S
413,0,3,female,21.0,0,0,7.75,Q
415,0,3,female,37.0,0,0,9.5875,S
416,1,1,female,16.0,0,0,86.5,S
417,0,1,male,18.0,1,0,108.9,C
418,1,2,female,33.0,0,2,26.0,S
420,0,3,male,28.0,0,0,22.525,S
421,1,3,male,26.0,0,0,56.4958,S
422,1,3,male,29.0,0,0,7.75,Q
424,1,1,male,36.0,0,0,26.2875,S
425,1,1,female,54.0,1,0,59.4,C
426,0,3,male,24.0,0,0,7.4958,S
427,0,1,male,47.0,0,0,34.0208,S
428,1,2,female,34.0,0,0,10.5,S
430,1,2,female,36.0,1,0,26.0,S
431,0,3,male,32.0,0,0,7.8958,S
432,1,1,female,30.0,0,0,93.5,S
433,0,3,male,22.0,0,0,7.8958,S
435,1,1,female,44.0,0,1,57.9792,C
437,0,3,male,40.5,0,0,7.75,Q
438,1,2,female,50.0,0,0,10.5,S
440,0,3,male,39.0,0,0,7.925,S
441,0,2,male,23.0,2,1,11.5,S
442,1,2,female,2.0,1,1,26.0,S
444,0,3,male,17.0,1,1,7.2292,C
446,0,3,female,30.0,0,0,8.6625,S
447,1,2,female,7.0,0,2,26.25,S
448,0,1,male,45.0,0,0,26.55,S
449,1,1,female,30.0,0,0,106.425,C
451,1,1,female,22.0,0,2,49.5,C
452,1,1,female,36.0,0,2,71.0,S
453,0,3,female,9.0,4,2,31.275,S
454,0,3,female,11.0,4,2,31.275,S
455,1,2,male,32.0,1,0,26.0,S
456,0,1,male,50.0,1,0,106.425,C
457,0,1,male,64.0,0,0,26.0,S
458,1,2,female,19.0,1,0,26.0,S
460,0,3,male,33.0,1,1,20.525,S
461,1,2,male,8.0,1,1,36.75,S
462,1,1,male,17.0,0,2,110.8833,C
463,0,2,male,27.0,0,0,26.0,S
465,1,3,male,22.0,0,0,7.225,C
466,1,3,female,22.0,0,0,7.775,S
467,0,1,male,62.0,0,0,26.55,S
468,1,1,female,48.0,1,0,39.6,C
470,1,1,female,39.0,1,1,79.65,S
471,1,3,female,36.0,1,0,17.4,S
473,0,3,male,40.0,0,0,7.8958,S
474,0,2,male,28.0,0,0,13.5,S
477,0,3,male,24.0,2,0,24.15,S
478,0,3,male,19.0,0,0,7.8958,S
479,0,3,female,29.0,0,4,21.075,S
481,1,3,male,32.0,0,0,7.8542,S
482,1,2,male,62.0,0,0,10.5,S
483,1,1,female,53.0,2,0,51.4792,S
484,1,1,male,36.0,0,0,26.3875,S
486,0,3,male,16.0,0,0,8.05,S
487,0,3,male,19.0,0,0,14.5,S
488,1,2,female,34.0,0,0,13.0,S
489,1,1,female,39.0,1,0,55.9,S
491,1,3,male,32.0,0,0,7.925,S
492,1,2,female,25.0,1,1,30.0,S
493,1,1,female,39.0,1,1,110.8833,C
494,0,2,male,54.0,0,0,26.0,S
495,0,1,male,36.0,0,0,40.125,C
497,1,1,female,18.0,0,2,79.65,S
498,0,2,male,47.0,0,0,15.0,S
499,1,1,male,60.0,1,1,79.2,C
500,0,3,male,22.0,0,0,8.05,S
502,0,3,male,35.0,0,0,7.125,S
503,1,1,female,52.0,1,0,78.2667,C
504,0,3,male,47.0,0,0,7.25,S
506,0,2,male,37.0,1,0,26.0,S
507,0,3,male,36.0,1,1,24.15,S
509,0,3,male,49.0,0,0,0.0,S
511,1,1,male,49.0,1,0,56.9292,C
512,1,2,female,24.0,2,1,27.0,S
515,0,3,male,44.0,0,0,8.05,S
516,1,1,male,35.0,0,0,26.55,C
517,0,3,male,36.0,1,0,15.55,S
518,0,3,male,30.0,0,0,7.8958,S
519,1,1,male,27.0,0,0,30.5,S
520,1,2,female,22.0,1,2,41.5792,C
521,1,1,female,40.0,0,0,153.4625,S
522,0,3,female,39.0,1,5,31.275,S
526,0,3,male,35.0,0,0,8.05,S
527,1,2,female,24.0,1,2,65.0,S
528,0,3,male,34.0,1,1,14.4,S
529,0,3,female,26.0,1,0,16.1,S
530,1,2,female,4.0,2,1,39.0,S
531,0,2,male,26.0,0,0,10.5,S
532,0,3,male,27.0,1,0,14.4542,C
533,1,1,male,42.0,1,0,52.5542,S
534,1,3,male,20.0,1,1,15.7417,C
535,0,3,male,21.0,0,0,7.8542,S
536,0,3,male,21.0,0,0,16.1,S
537,0,1,male,61.0,0,0,32.3208,S
538,0,2,male,57.0,0,0,12.35,Q
539,1,1,female,21.0,0,0,77.9583,S
540,0,3,male,26.0,0,0,7.8958,S
542,1,1,male,80.0,0,0,30.0,S
543,0,3,male,51.0,0,0,7.0542,S
544,1,1,male,32.0,0,0,30.5,C
546,0,3,female,9.0,3,2,27.9,S
547,1,2,female,28.0,0,0,13.0,S
548,0,3,male,32.0,0,0,7.925,S
549,0,2,male,31.0,1,1,26.25,S
550,0,3,female,41.0,0,5,39.6875,S
552,0,3,male,20.0,0,0,7.8542,S
553,1,1,female,24.0,0,0,69.3,C
554,0,3,female,2.0,3,2,27.9,S
556,1,3,female,0.75,2,1,19.2583,C
557,1,1,male,48.0,1,0,76.7292,C
558,0,3,male,19.0,0,0,7.8958,S
559,1,1,male,56.0,0,0,35.5,C
561,1,3,female,23.0,0,0,7.55,S
563,1,2,female,18.0,0,1,23.0,S
564,0,3,male,21.0,0,0,8.4333,S
566,0,3,female,18.0,0,0,6.75,Q
567,0,2,male,24.0,2,0,73.5,S
569,0,3,female,32.0,1,1,15.5,Q
570,0,2,male,23.0,0,0,13.0,S
571,0,1,male,58.0,0,2,113.275,C
572,1,1,male,50.0,2,0,133.65,S
573,0,3,male,40.0,0,0,7.225,C
574,0,1,male,47.0,0,0,25.5875,S
575,0,3,male,36.0,0,0,7.4958,S
576,1,3,male,20.0,1,0,7.925,S
577,0,2,male,32.0,2,0,73.5,S
578,0,2,male,25.0,0,0,13.0,S
580,0,3,male,43.0,0,0,8.05,S
582,1,2,female,40.0,1,1,39.0,S
583,0,1,male,31.0,1,0,52.0,S
584,0,2,male,70.0,0,0,10.5,S
585,1,2,male,31.0,0,0,13.0,S
587,0,3,male,18.0,0,0,7.775,S
588,0,3,male,24.5,0,0,8.05,S
589,1,3,female,18.0,0,0,9.8417,S
590,0,3,female,43.0,1,6,46.9,S
591,1,1,male,36.0,0,1,512.3292,C
593,1,1,male,27.0,0,0,76.7292,C
594,0,3,male,20.0,0,0,9.225,S
595,0,3,male,14.0,5,2,46.9,S
596,0,2,male,60.0,1,1,39.0,S
597,0,2,male,25.0,1,2,41.5792,C
598,0,3,male,14.0,4,1,39.6875,S
599,0,3,male,19.0,0,0,10.1708,S
600,0,3,male,18.0,0,0,7.7958,S
601,1,1,female,15.0,0,1,211.3375,S
602,1,1,male,31.0,1,0,57.0,S
603,1,3,female,4.0,0,1,13.4167,C
605,0,3,male,25.0,0,0,7.225,C
606,0,1,male,60.0,0,0,26.55,S
607,0,2,male,52.0,0,0,13.5,S
608,0,3,male,44.0,0,0,8.05,S
610,0,1,male,49.0,1,1,110.8833,C
611,0,3,male,42.0,0,0,7.65,S
612,1,1,female,18.0,1,0,227.525,C
613,1,1,male,35.0,0,0,26.2875,S
614,0,3,female,18.0,0,1,14.4542,C
615,0,3,male,25.0,0,0,7.7417,Q
616,0,3,male,26.0,1,0,7.8542,S
617,0,2,male,39.0,0,0,26.0,S
618,1,2,female,45.0,0,0,13.5,S
619,1,1,male,42.0,0,0,26.2875,S
620,1,1,female,22.0,0,0,151.55,S
622,1,1,female,24.0,0,0,49.5042,C
624,1,1,male,48.0,1,0,52.0,S
625,0,3,male,29.0,0,0,9.4833,S
626,0,2,male,52.0,0,0,13.0,S
627,0,3,male,19.0,0,0,7.65,S
628,1,1,female,38.0,0,0,227.525,C
629,1,2,female,27.0,0,0,10.5,S
631,0,3,male,33.0,0,0,7.775,S
632,1,2,female,6.0,0,1,33.0,S
633,0,3,male,17.0,1,0,7.0542,S
634,0,2,male,34.0,0,0,13.0,S
635,0,2,male,50.0,0,0,13.0,S
636,1,1,male,27.0,1,0,53.1,S
637,0,3,male,20.0,0,0,8.6625,S
638,1,2,female,30.0,3,0,21.0,S
640,0,2,male,25.0,1,0,26.0,S
641,0,3,female,25.0,1,0,7.925,S
642,1,1,female,29.0,0,0,211.3375,S
643,0,3,male,11.0,0,0,18.7875,C
645,0,2,male,23.0,0,0,13.0,S
646,0,2,male,23.0,0,0,13.0,S
647,0,3,male,28.5,0,0,16.1,S
648,0,3,female,48.0,1,3,34.375,S
649,1,1,male,35.0,0,0,512.3292,C
653,0,1,male,36.0,1,0,78.85,S
654,1,1,female,21.0,2,2,262.375,C
655,0,3,male,24.0,1,0,16.1,S
656,1,3,male,31.0,0,0,7.925,S
657,0,1,male,70.0,1,1,71.0,S
658,0,3,male,16.0,1,1,20.25,S
659,1,2,female,30.0,0,0,13.0,S
660,0,1,male,19.0,1,0,53.1,S
661,0,3,male,31.0,0,0,7.75,Q
662,1,2,female,4.0,1,1,23.0,S
663,1,3,male,6.0,0,1,12.475,S
664,0,3,male,33.0,0,0,9.5,S
665,0,3,male,23.0,0,0,7.8958,S
666,1,2,female,48.0,1,2,65.0,S
667,1,2,male,0.67,1,1,14.5,S
668,0,3,male,28.0,0,0,7.7958,S
669,0,2,male,18.0,0,0,11.5,S
670,0,3,male,34.0,0,0,8.05,S
671,1,1,female,33.0,0,0,86.5,S
673,0,3,male,41.0,0,0,7.125,S
674,1,3,male,20.0,0,0,7.2292,C
675,1,1,female,36.0,1,2,120.0,S
676,0,3,male,16.0,0,0,7.775,S
677,1,1,female,51.0,1,0,77.9583,S
679,0,3,female,30.5,0,0,7.75,Q
681,0,3,male,32.0,0,0,8.3625,S
682,0,3,male,24.0,0,0,9.5,S
683,0,3,male,48.0,0,0,7.8542,S
684,0,2,female,57.0,0,0,10.5,S
686,1,2,female,54.0,1,3,23.0,S
687,0,3,male,18.0,0,0,7.75,S
689,1,3,female,5.0,0,0,12.475,S
691,1,1,female,43.0,0,1,211.3375,S
692,1,3,female,13.0,0,0,7.2292,C
693,1,1,female,17.0,1,0,57.0,S
694,0,1,male,29.0,0,0,30.0,S
696,0,3,male,25.0,0,0,7.05,S
697,0,3,male,25.0,0,0,7.25,S
698,1,3,female,18.0,0,0,7.4958,S
699,0,3,male,8.0,4,1,29.125,Q
700,1,3,male,1.0,1,2,20.575,S
701,0,1,male,46.0,0,0,79.2,C
703,0,2,male,16.0,0,0,26.0,S
706,0,3,male,25.0,0,0,7.8958,S
707,0,2,male,39.0,0,0,13.0,S
708,1,1,female,49.0,0,0,25.9292,S
709,1,3,female,31.0,0,0,8.6833,S
710,0,3,male,30.0,0,0,7.2292,C
711,0,3,female,30.0,1,1,24.15,S
712,0,2,male,34.0,0,0,13.0,S
713,1,2,female,31.0,1,1,26.25,S
714,1,1,male,11.0,1,2,120.0,S
715,1,3,male,0.42,0,1,8.5167,C
716,1,3,male,27.0,0,0,6.975,S
717,0,3,male,31.0,0,0,7.775,S
718,0,1,male,39.0,0,0,0.0,S
719,0,3,female,18.0,0,0,7.775,S
720,0,2,male,39.0,0,0,13.0,S
721,1,1,female,33.0,1,0,53.1,S
722,0,3,male,26.0,0,0,7.8875,S
723,0,3,male,39.0,0,0,24.15,S
724,0,2,male,35.0,0,0,10.5,S
725,0,3,female,6.0,4,2,31.275,S
726,0,3,male,30.5,0,0,8.05,S
728,0,3,female,23.0,0,0,7.925,S
729,0,2,male,31.0,1,1,37.0042,C
730,0,3,male,43.0,0,0,6.45,S
731,0,3,male,10.0,3,2,27.9,S
732,1,1,female,52.0,1,1,93.5,S
733,1,3,male,27.0,0,0,8.6625,S
734,0,1,male,38.0,0,0,0.0,S
735,1,3,female,27.0,0,1,12.475,S
736,0,3,male,2.0,4,1,39.6875,S
739,1,2,male,1.0,0,2,37.0042,C
742,1,3,female,15.0,1,0,14.4542,C
743,1,2,male,0.83,1,1,18.75,S
745,0,3,male,23.0,0,0,7.8542,S
746,0,3,male,18.0,0,0,8.3,S
747,1,1,female,39.0,1,1,83.1583,C
748,0,3,male,21.0,0,0,8.6625,S
750,1,3,male,32.0,0,0,56.4958,S
752,0,3,male,20.0,0,0,7.925,S
753,0,2,male,16.0,0,0,10.5,S
754,1,1,female,30.0,0,0,31.0,C
755,0,3,male,34.5,0,0,6.4375,C
756,0,3,male,17.0,0,0,8.6625,S
757,0,3,male,42.0,0,0,7.55,S
759,0,3,male,35.0,0,0,7.8958,C
760,0,2,male,28.0,0,1,33.0,S
762,0,3,male,4.0,4,2,31.275,S
763,0,3,male,74.0,0,0,7.775,S
764,0,3,female,9.0,1,1,15.2458,C
765,1,1,female,16.0,0,1,39.4,S
766,0,2,female,44.0,1,0,26.0,S
767,1,3,female,18.0,0,1,9.35,S
768,1,1,female,45.0,1,1,164.8667,S
769,1,1,male,51.0,0,0,26.55,S
770,1,3,female,24.0,0,3,19.2583,C
772,0,3,male,41.0,2,0,14.1083,S
773,0,2,male,21.0,1,0,11.5,S
774,1,1,female,48.0,0,0,25.9292,S
776,0,2,male,24.0,0,0,13.0,S
777,1,2,female,42.0,0,0,13.0,S
778,1,2,female,27.0,1,0,13.8583,C
779,0,1,male,31.0,0,0,50.4958,S
781,1,3,male,4.0,1,1,11.1333,S
782,0,3,male,26.0,0,0,7.8958,S
783,1,1,female,47.0,1,1,52.5542,S
784,0,1,male,33.0,0,0,5.0,S
785,0,3,male,47.0,0,0,9.0,S
786,1,2,female,28.0,1,0,24.0,C
787,1,3,female,15.0,0,0,7.225,C
788,0,3,male,20.0,0,0,9.8458,S
789,0,3,male,19.0,0,0,7.8958,S
791,1,1,female,56.0,0,1,83.1583,C
792,1,2,female,25.0,0,1,26.0,S
793,0,3,male,33.0,0,0,7.8958,S
794,0,3,female,22.0,0,0,10.5167,S
795,0,2,male,28.0,0,0,10.5,S
796,0,3,male,25.0,0,0,7.05,S
797,0,3,female,39.0,0,5,29.125,Q
798,0,2,male,27.0,0,0,13.0,S
799,1,1,female,19.0,0,0,30.0,S
801,1,1,male,26.0,0,0,30.0,C
802,0,3,male,32.0,0,0,7.75,Q
